,Course Name,Transcript File Name,Transcript Count,Sections Created,Status
34,Course 2,11.txt,12,0,❌ Mismatch
77,Course 2,11.txt,12,1,❌ Mismatch
74,Course 2,Lecture 02.md,8,0,❌ Mismatch
9,Course 2,Lecture 03.md,15,0,❌ Mismatch
82,Course 2,Lecture 04.md,15,0,❌ Mismatch
23,Course 2,Lecture 05.md,5,0,❌ Mismatch
87,Course 2,Lecture 06.md,6,0,❌ Mismatch
61,Course 2,Lecture 07.md,6,0,❌ Mismatch
1,Course 2,Lecture 08.md,7,0,❌ Mismatch
58,Course 2,Lecture 09.md,11,6,❌ Mismatch
75,Course 2,Lecture 09.md,11,0,❌ Mismatch
13,Course 2,Lecture 10.md,15,0,❌ Mismatch
24,Course 2,Lecture 10.md,15,8,❌ Mismatch
15,Course 2,Lecture 11.md,8,0,❌ Mismatch
71,Course 2,Lecture 12.md,18,0,❌ Mismatch
27,Course 2,Lecture 13.md,13,0,❌ Mismatch
26,Course 2,Lecture 14.md,24,0,❌ Mismatch
38,Course 2,Lecture 15.md,24,0,❌ Mismatch
86,Course 2,Lecture 16.md,7,0,❌ Mismatch
72,Course 2,Lecture 17.md,6,0,❌ Mismatch
48,Course 2,Lecture 18.md,6,0,❌ Mismatch
4,Course 2,Lecture 19.md,9,0,❌ Mismatch
60,Course 2,Lecture 20.md,9,0,❌ Mismatch
79,Course 2,Lecture 21.md,8,0,❌ Mismatch
46,Course 2,Lecture 22.md,10,0,❌ Mismatch
20,Course 2,Lecture 23.md,10,0,❌ Mismatch
43,Course 2,Lecture 24.md,8,0,❌ Mismatch
80,Course 2,Lecture 25.md,9,0,❌ Mismatch
85,Course 2,Lecture 26.md,9,0,❌ Mismatch
40,Course 2,Lecture 27.md,9,0,❌ Mismatch
70,Course 2,Lecture 28.md,9,0,❌ Mismatch
56,Course 2,Lecture 29.md,8,0,❌ Mismatch
5,Course 6,Lecture 01.md,8,0,❌ Mismatch
11,Course 6,Lecture 02.md,9,0,❌ Mismatch
81,Course 6,Lecture 03.md,11,0,❌ Mismatch
7,Course 6,Lecture 04.md,11,0,❌ Mismatch
83,Course 6,Lecture 05.md,20,0,❌ Mismatch
44,Course 6,Lecture 06.md,10,0,❌ Mismatch
17,Course 6,Lecture 07.md,13,0,❌ Mismatch
28,Course 6,Lecture 08.md,14,12,❌ Mismatch
35,Course 6,Lecture 08.md,14,0,❌ Mismatch
84,Course 6,Lecture 09.md,8,0,❌ Mismatch
19,Course 6,Lecture 10.md,15,0,❌ Mismatch
51,Course 6,Lecture 11.md,13,0,❌ Mismatch
68,Course 6,Lecture 12.md,18,0,❌ Mismatch
22,Course 6,Lecture 13.md,16,0,❌ Mismatch
8,Course 6,Lecture 14.md,14,0,❌ Mismatch
67,Course 6,Lecture 14.md,14,12,❌ Mismatch
54,Course 6,Lecture 15.md,8,0,❌ Mismatch
55,Course 6,Lecture 16.md,15,0,❌ Mismatch
57,Course 6,Lecture 17.md,18,0,❌ Mismatch
0,Course 6,Lecture 18.md,11,0,❌ Mismatch
50,Course 6,Lecture 19.md,19,0,❌ Mismatch
49,Course 6,Lecture 20.md,10,0,❌ Mismatch
64,Course 6,Lecture 21.md,16,0,❌ Mismatch
30,Course 6,Lecture 22.md,16,0,❌ Mismatch
53,Course 6,Lecture 23.md,13,0,❌ Mismatch
78,Course 6,Lecture 24.md,14,0,❌ Mismatch
73,Course 6,Lecture 25.md,12,0,❌ Mismatch
45,Course 6,Lecture 26.md,12,0,❌ Mismatch
39,Course 6,Lecture 27.md,9,0,❌ Mismatch
33,Course 6,Lecture 28.md,12,0,❌ Mismatch
14,Course 6,Lecture 29.md,11,0,❌ Mismatch
41,Course 6,Lecture 30.md,14,0,❌ Mismatch
29,Course 7,Lecture 01.md,7,0,❌ Mismatch
25,Course 7,Lecture 02.md,5,0,❌ Mismatch
62,Course 7,Lecture 02.md,5,4,❌ Mismatch
65,Course 7,Lecture 03.md,5,0,❌ Mismatch
18,Course 7,Lecture 05.md,7,0,❌ Mismatch
76,Course 7,Lecture 06.md,8,0,❌ Mismatch
31,Course 7,Lecture 07.md,8,0,❌ Mismatch
88,Course 7,Lecture 08.md,7,0,❌ Mismatch
89,Course 7,Lecture 09.md,8,0,❌ Mismatch
6,Course 7,Lecture 10.md,8,0,❌ Mismatch
66,Course 7,Lecture 11.md,8,0,❌ Mismatch
36,Course 7,Lecture 12.md,6,0,❌ Mismatch
12,Course 7,Lecture 13.md,10,0,❌ Mismatch
47,Course 7,Lecture 14.md,6,0,❌ Mismatch
10,Course 7,Lecture 15.md,9,0,❌ Mismatch
37,Course 7,Lecture 16.md,7,0,❌ Mismatch
3,Course 7,Lecture 17.md,8,0,❌ Mismatch
52,Course 7,Lecture 18.txt,11,0,❌ Mismatch
16,Course 7,Lecture 19.md,25,0,❌ Mismatch
90,Course 7,Lecture 20.md,10,0,❌ Mismatch
42,Course 7,Lecture 21.md,10,0,❌ Mismatch
32,Course 7,Lecture 22.md,7,0,❌ Mismatch
21,Course 7,Lecture 23.md,12,0,❌ Mismatch
2,Course 7,Lecture 24.txt,13,0,❌ Mismatch
63,Course 7,Lecture 25.md,5,0,❌ Mismatch
59,Course 7,Lecture 26.md,8,0,❌ Mismatch
69,Course 7,lec4-script.md,12,0,❌ Mismatch
